date,location,hosp_patients,total_beds,icu_patients,total_resp,total_quarantine,total_nadzor
2020-12-10,Polska,18941,38057.0,1766.0,3120.0,240381,11493.0
2020-12-11,Polska,18778,37664.0,1765.0,3124.0,208280,12807.0
2020-12-12,Polska,18533,37488.0,1784.0,3108.0,209390,12581.0
2020-12-13,Polska,18813,37411.0,1807.0,3103.0,191726,12310.0
2020-12-14,Polska,19210,36799.0,1739.0,3098.0,177899,11433.0
2020-12-15,Polska,18899,36628.0,1732.0,3090.0,183997,10879.0
2020-12-16,Polska,18707,36477.0,1721.0,3089.0,203638,9463.0
2020-12-17,Polska,18542,36659.0,1725.0,3145.0,208368,11258.0
2020-12-18,Polska,18342,36270.0,1695.0,3103.0,205175,10692.0
2020-12-19,Polska,18180,35986.0,1710.0,3099.0,166375,9774.0
2020-12-20,Polska,18376,35974.0,1714.0,3084.0,171536,9707.0
2020-12-21,Polska,18521,35578.0,1673.0,3071.0,163030,9023.0
2020-12-22,Polska,17794,35434.0,1639.0,3066.0,176634,9130.0
2020-12-23,Polska,17239,35410.0,1610.0,3078.0,181114,9198.0
2020-12-24,Polska,16735,35331.0,1603.0,3065.0,162608,8949.0
2020-12-25,Polska,16457,35300.0,1603.0,3072.0,161845,8511.0
2020-12-26,Polska,16686,35293.0,1586.0,3063.0,150399,8311.0
2020-12-27,Polska,17078,35282.0,1599.0,3067.0,141744,8109.0
2020-12-28,Polska,17299,35226.0,1604.0,3067.0,156453,6699.0
2020-12-29,Polska,17228,35145.0,1580.0,3066.0,159002,6957.0
2020-12-30,Polska,16970,35145.0,1607.0,3078.0,164847,6991.0
2020-12-31,Polska,16757,34741.0,1598.0,3036.0,164643,6183.0
2021-01-01,Polska,16601,33909.0,1588.0,3002.0,149396,6740.0
2021-01-02,Polska,16786,33854.0,1602.0,2976.0,139957,6555.0
2021-01-03,Polska,17130,33897.0,1642.0,2970.0,132060,6465.0
2021-01-04,Polska,17191,33354.0,1629.0,2957.0,155608,5984.0
2021-01-05,Polska,17057,33194.0,1606.0,2967.0,162514,5971.0
2021-01-06,Polska,16726,33114.0,1590.0,2980.0,150303,5705.0
2021-01-07,Polska,16774,33076.0,1616.0,2984.0,164030,6055.0
2021-01-08,Polska,16543,32655.0,1596.0,2967.0,162523,6239.0
2021-01-09,Polska,16364,32444.0,1602.0,2953.0,150515,6008.0
2021-01-10,Polska,16681,32352.0,1605.0,2943.0,146685,5928.0
2021-01-11,Polska,16859,32078.0,1637.0,2948.0,169588,5645.0
2021-01-12,Polska,16553,31969.0,1606.0,2949.0,180854,5679.0
2021-01-13,Polska,16250,31690.0,1630.0,2946.0,184369,5922.0
2021-01-14,Polska,16083,31521.0,1628.0,2949.0,182899,5917.0
2021-01-15,Polska,15887,31176.0,1608.0,2925.0,172827,5895.0
2021-01-16,Polska,15588,30994.0,1651.0,2894.0,172702,6096.0
2021-01-17,Polska,15716,30999.0,1616.0,2904.0,170044,5930.0
2021-01-18,Polska,15667,30694.0,1582.0,2887.0,182631,5933.0
2021-01-19,Polska,15324,30737.0,1569.0,2889.0,184982,5680.0
2021-01-20,Polska,14928,30503.0,1597.0,2884.0,185529,5729.0
2021-01-21,Polska,14614,30252.0,1489.0,2854.0,181698,5837.0
2021-01-22,Polska,14528,30151.0,1477.0,2860.0,184639,5660.0
2021-01-23,Polska,14377,29893.0,1482.0,2860.0,176192,5992.0
2021-01-24,Polska,14544,29913.0,1467.0,2854.0,170854,5937.0
2021-01-25,Polska,14596,29654.0,1449.0,2839.0,177875,0
2021-01-26,Polska,14120,29558.0,1414.0,2847.0,176833,0
2021-01-27,Polska,13879,29502.0,1406.0,2843.0,178510,0
2021-01-28,Polska,13726,29368.0,1400.0,2838.0,177684,0
2021-01-29,Polska,13654,29229.0,1409.0,2826.0,174906,0
2021-01-30,Polska,13339,29303.0,1388.0,2841.0,162805,0
2021-01-31,Polska,13507,29155.0,1385.0,2827.0,150420,0
2021-02-01,Polska,13512,28302.0,1353.0,2745.0,152614,0
2021-02-02,Polska,13225,28123.0,1369.0,2732.0,147257,0
2021-02-03,Polska,12945,28060.0,1333.0,2724.0,151201,0
2021-02-04,Polska,12837,28027.0,1338.0,2720.0,152292,0
2021-02-05,Polska,12743,27870.0,1293.0,2695.0,149585,0
2021-02-06,Polska,12528,27687.0,1336.0,2698.0,138266,0
2021-02-07,Polska,12559,27690.0,1326.0,2687.0,129751,0
2021-02-08,Polska,12677,27584.0,1323.0,2678.0,137467,0
2021-02-09,Polska,12472,27232.0,1314.0,2656.0,135235,0
2021-02-10,Polska,12227,27187.0,1267.0,2658.0,144541,0
2021-02-11,Polska,12215,27138.0,1277.0,2650.0,149615,0
2021-02-12,Polska,12163,27145.0,1270.0,2649.0,147961,0
2021-02-13,Polska,11962,27196.0,1270.0,2642.0,137229,0
2021-02-14,Polska,12026,27141.0,1279.0,2653.0,128654,0
2021-02-15,Polska,12318,26595.0,1274.0,2646.0,139469,0
2021-02-16,Polska,12225,26446.0,1286.0,2636.0,141093,0
2021-02-17,Polska,12188,26336.0,1295.0,2627.0,153920,0
2021-02-18,Polska,12441,26421.0,1306.0,2637.0,163974,0
2021-02-19,Polska,12517,26390.0,1304.0,2637.0,166639,0
2021-02-20,Polska,12609,26271.0,1340.0,2600.0,156100,0
2021-02-21,Polska,12868,26245.0,1336.0,2607.0,147208,0
2021-02-22,Polska,13350,25885.0,1347.0,2585.0,161407,0
2021-02-23,Polska,13477,25925.0,1321.0,2575.0,161187,0
2021-02-24,Polska,13818,25966.0,1375.0,2576.0,176394,0
2021-02-25,Polska,14058,26024.0,1467.0,2581.0,188482,0
2021-02-26,Polska,14371,26111.0,1446.0,2582.0,191595,0
2021-02-27,Polska,14538,26227.0,1503.0,2587.0,179565,0
2021-02-28,Polska,14929,26254.0,1509.0,2589.0,171656,0
2021-03-01,Polska,15400,26241.0,1540.0,2568.0,192491,0
2021-03-02,Polska,15591,26490.0,1583.0,2586.0,194086,0
2021-03-03,Polska,15992,26387.0,1650.0,2607.0,216011,0
2021-03-04,Polska,16423,26448.0,1675.0,2616.0,234601,0
2021-03-05,Polska,16725,26749.0,1716.0,2627.0,243583,0
