date,year,total,age,short,location
2011-01-10,2011,13.0,Y20-39,PL61,kujawsko-pomorskie
2011-01-10,2011,31.0,Y20-39,PL9,mazowieckie
2011-01-10,2011,14.0,Y20-39,PL71,łódzkie
2011-01-10,2011,4.0,Y20-39,PL72,świętokrzyskie
2011-01-10,2011,9.0,Y20-39,PL81,lubelskie
2011-01-10,2011,10.0,Y20-39,PL82,podkarpackie
2011-01-10,2011,7.0,Y20-39,PL84,podlaskie
2011-01-10,2011,1295.0,Y40-59,PL,Polska
2011-01-10,2011,106.0,Y40-59,PL21,małopolskie
2011-01-10,2011,189.0,Y40-59,PL22,śląskie
2011-01-10,2011,102.0,Y40-59,PL41,wielkopolskie
2011-01-10,2011,57.0,Y40-59,PL42,zachodniopomorskie
2011-01-10,2011,38.0,Y40-59,PL43,lubuskie
2011-01-10,2011,0.0,UNK,PL72,świętokrzyskie
2011-01-10,2011,9.0,Y20-39,PL63,pomorskie
2011-01-10,2011,0.0,UNK,PL71,łódzkie
2011-01-10,2011,358.0,TOTAL,PL82,podkarpackie
2011-01-10,2011,0.0,UNK,PL62,warmińsko-mazurskie
2011-01-10,2011,7697.0,TOTAL,PL,Polska
2011-01-10,2011,706.0,TOTAL,PL21,małopolskie
2011-01-10,2011,965.0,TOTAL,PL22,śląskie
2011-01-10,2011,637.0,TOTAL,PL41,wielkopolskie
2011-01-10,2011,327.0,TOTAL,PL42,zachodniopomorskie
2011-01-10,2011,202.0,TOTAL,PL43,lubuskie
2011-01-10,2011,551.0,TOTAL,PL51,dolnośląskie
2011-01-10,2011,195.0,TOTAL,PL52,opolskie
2011-01-10,2011,425.0,TOTAL,PL61,kujawsko-pomorskie
2011-01-10,2011,226.0,TOTAL,PL62,warmińsko-mazurskie
2011-01-10,2011,395.0,TOTAL,PL63,pomorskie
2011-01-10,2011,609.0,TOTAL,PL71,łódzkie
2011-01-10,2011,0.0,UNK,PL63,pomorskie
2011-01-10,2011,303.0,TOTAL,PL72,świętokrzyskie
2011-01-10,2011,109.0,Y40-59,PL51,dolnośląskie
2011-01-10,2011,222.0,TOTAL,PL84,podlaskie
2011-01-10,2011,1098.0,TOTAL,PL9,mazowieckie
2011-01-10,2011,0.0,UNK,PL,Polska
2011-01-10,2011,0.0,UNK,PL21,małopolskie
2011-01-10,2011,0.0,UNK,PL22,śląskie
2011-01-10,2011,0.0,UNK,PL41,wielkopolskie
2011-01-10,2011,0.0,UNK,PL42,zachodniopomorskie
2011-01-10,2011,0.0,UNK,PL43,lubuskie
2011-01-10,2011,0.0,UNK,PL51,dolnośląskie
2011-01-10,2011,0.0,UNK,PL52,opolskie
2011-01-10,2011,0.0,UNK,PL61,kujawsko-pomorskie
2011-01-10,2011,478.0,TOTAL,PL81,lubelskie
2011-01-10,2011,27.0,Y40-59,PL52,opolskie
2011-01-10,2011,8.0,Y20-39,PL62,warmińsko-mazurskie
2011-01-10,2011,42.0,Y40-59,PL62,warmińsko-mazurskie
2011-01-10,2011,71.0,Y_GE80,PL52,opolskie
2011-01-10,2011,156.0,Y_GE80,PL61,kujawsko-pomorskie
2011-01-10,2011,78.0,Y_GE80,PL62,warmińsko-mazurskie
2011-01-10,2011,148.0,Y_GE80,PL63,pomorskie
2011-01-10,2011,249.0,Y_GE80,PL71,łódzkie
2011-01-10,2011,129.0,Y_GE80,PL72,świętokrzyskie
2011-01-10,2011,201.0,Y_GE80,PL81,lubelskie
2011-01-10,2011,149.0,Y_GE80,PL82,podkarpackie
2011-01-10,2011,90.0,Y_GE80,PL84,podlaskie
2011-01-10,2011,481.0,Y_GE80,PL9,mazowieckie
2011-01-10,2011,87.0,Y_LT20,PL,Polska
2011-01-10,2011,9.0,Y_LT20,PL21,małopolskie
2011-01-10,2011,12.0,Y_LT20,PL22,śląskie
2011-01-10,2011,6.0,Y_LT20,PL41,wielkopolskie
2011-01-10,2011,5.0,Y_LT20,PL42,zachodniopomorskie
2011-01-10,2011,4.0,Y_LT20,PL43,lubuskie
2011-01-10,2011,8.0,Y_LT20,PL51,dolnośląskie
2011-01-10,2011,0.0,Y_LT20,PL52,opolskie
2011-01-10,2011,5.0,Y_LT20,PL61,kujawsko-pomorskie
2011-01-10,2011,5.0,Y_LT20,PL62,warmińsko-mazurskie
2011-01-10,2011,1.0,Y_LT20,PL63,pomorskie
2011-01-10,2011,2.0,Y_LT20,PL71,łódzkie
2011-01-10,2011,3.0,Y_LT20,PL72,świętokrzyskie
2011-01-10,2011,8.0,Y_LT20,PL81,lubelskie
2011-01-10,2011,3.0,Y_LT20,PL82,podkarpackie
2011-01-10,2011,3.0,Y_LT20,PL84,podlaskie
2011-01-10,2011,76.0,Y40-59,PL61,kujawsko-pomorskie
2011-01-10,2011,195.0,Y_GE80,PL51,dolnośląskie
2011-01-10,2011,72.0,Y_GE80,PL43,lubuskie
2011-01-10,2011,13.0,Y_LT20,PL9,mazowieckie
2011-01-10,2011,258.0,Y_GE80,PL41,wielkopolskie
2011-01-10,2011,113.0,Y_GE80,PL42,zachodniopomorskie
2011-01-10,2011,111.0,Y40-59,PL71,łódzkie
2011-01-10,2011,61.0,Y40-59,PL72,świętokrzyskie
2011-01-10,2011,55.0,Y40-59,PL81,lubelskie
2011-01-10,2011,46.0,Y40-59,PL82,podkarpackie
2011-01-10,2011,35.0,Y40-59,PL84,podlaskie
2011-01-10,2011,170.0,Y40-59,PL9,mazowieckie
2011-01-10,2011,3076.0,Y60-79,PL,Polska
2011-01-10,2011,269.0,Y60-79,PL21,małopolskie
2011-01-10,2011,389.0,Y60-79,PL22,śląskie
2011-01-10,2011,262.0,Y60-79,PL41,wielkopolskie
2011-01-10,2011,143.0,Y60-79,PL42,zachodniopomorskie
2011-01-10,2011,80.0,Y60-79,PL43,lubuskie
2011-01-10,2011,222.0,Y60-79,PL51,dolnośląskie
2011-01-10,2011,71.0,Y40-59,PL63,pomorskie
2011-01-10,2011,93.0,Y60-79,PL52,opolskie
2011-01-10,2011,348.0,Y_GE80,PL22,śląskie
2011-01-10,2011,307.0,Y_GE80,PL21,małopolskie
2011-01-10,2011,3045.0,Y_GE80,PL,Polska
2011-01-10,2011,403.0,Y60-79,PL9,mazowieckie
2011-01-10,2011,150.0,Y60-79,PL82,podkarpackie
2011-01-10,2011,87.0,Y60-79,PL84,podlaskie
2011-01-10,2011,106.0,Y60-79,PL72,świętokrzyskie
2011-01-10,2011,233.0,Y60-79,PL71,łódzkie
2011-01-10,2011,166.0,Y60-79,PL63,pomorskie
2011-01-10,2011,93.0,Y60-79,PL62,warmińsko-mazurskie
2011-01-10,2011,175.0,Y60-79,PL61,kujawsko-pomorskie
2011-01-10,2011,205.0,Y60-79,PL81,lubelskie
2011-01-17,2011,13.0,Y20-39,PL42,zachodniopomorskie
2011-01-17,2011,7.0,Y20-39,PL52,opolskie
2011-01-17,2011,8.0,Y20-39,PL51,dolnośląskie
2011-01-17,2011,8.0,Y20-39,PL43,lubuskie
2011-01-17,2011,15.0,Y20-39,PL41,wielkopolskie
2011-01-17,2011,0.0,UNK,PL82,podkarpackie
2011-01-17,2011,16.0,Y20-39,PL21,małopolskie
2011-01-17,2011,223.0,Y20-39,PL,Polska
2011-01-17,2011,0.0,UNK,PL9,mazowieckie
2011-01-17,2011,0.0,UNK,PL84,podlaskie
2011-01-17,2011,23.0,Y20-39,PL22,śląskie
2011-01-17,2011,6.0,Y20-39,PL61,kujawsko-pomorskie
