JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_0415022,toruński,675,232,955,1377,842,9811,3552,"36,2",4081,Chełmża,kujawsko-pomorskie,<20k
JPT_1430012,szydłowiecki,413,37,382,588,435,5865,1477,"25,2",1855,Chlewiska,mazowieckie,<20k
JPT_2604043,kielecki,998,131,950,1445,889,11170,3904,35,4413,Chmielnik,świętokrzyskie,<20k
JPT_1816042,rzeszowski,423,102,510,746,387,6968,2021,29,2168,Chmielnik,podkarpackie,<20k
JPT_2205012,kartuski,447,162,685,919,493,7872,2283,29,2706,Chmielno,pomorskie,<20k
JPT_0418052,włocławski,626,132,776,1157,751,7910,2815,"35,6",3442,Choceń,kujawsko-pomorskie,<20k
JPT_0216013,polkowicki,950,169,1003,1569,1218,12721,4485,"35,3",4909,Chocianów,dolnośląskie,<20k
JPT_3214023,stargardzki,466,118,597,890,645,5733,2303,"40,2",2716,Chociwel,zachodniopomorskie,<20k
JPT_3020013,pleszewski,386,52,386,678,386,4741,1630,"34,4",1888,Chocz,wielkopolskie,<20k
JPT_2215042,wejherowski,383,92,460,708,555,5446,1868,"34,3",2198,Choczewo,pomorskie,<20k
JPT_0418063,włocławski,492,66,491,777,538,5972,2122,"35,5",2364,Chodecz,kujawsko-pomorskie,<20k
JPT_0612012,opolski (lubelskie),471,72,429,684,411,6536,1941,"29,7",2067,Chodel,lubelskie,<20k
JPT_3001011,chodzieski,2179,476,2037,3125,2100,18229,8353,"45,8",9917,Chodzież,wielkopolskie,<20k
JPT_3001032,chodzieski,365,172,620,999,521,6136,2116,"34,5",2677,Chodzież,wielkopolskie,<20k
JPT_3009032,kolski,299,47,250,433,283,2985,1198,"40,1",1312,Chodów,wielkopolskie,<20k
JPT_3206033,gryfiński,992,230,1195,1948,1327,13616,4919,"36,1",5692,Chojna,zachodniopomorskie,<20k
JPT_2202011,chojnicki,3873,943,4232,5898,4087,39647,16592,"41,8",19033,Chojnice,pomorskie,20k-50k
JPT_2202032,chojnicki,1298,486,1883,2950,1585,19498,7185,"36,8",8202,Chojnice,pomorskie,<20k
JPT_0209011,legnicki,1297,199,1117,1829,1555,13236,5410,"40,9",5997,Chojnów,dolnośląskie,<20k
JPT_0209022,legnicki,679,152,736,1253,838,9517,3231,"33,9",3658,Chojnów,dolnośląskie,<20k
JPT_1807012,krośnieński (podkarpackie),833,106,793,1346,892,13451,3648,"27,1",3970,Chorkówka,podkarpackie,<20k
JPT_2002013,białostocki,1111,214,1459,2341,1311,15781,6049,"38,3",6436,Choroszcz,podlaskie,<20k
JPT_1422023,przasnyski,694,104,666,1192,677,10075,2918,29,3333,Chorzele,mazowieckie,<20k
JPT_2463011,Chorzów,11594,2422,12047,17312,8898,106846,47306,"44,3",52273,Chorzów,śląskie,>100k
JPT_3202023,choszczeński,2198,468,2152,3254,2376,21529,9284,"43,1",10448,Choszczno,zachodniopomorskie,20k-50k
JPT_1409012,lipski,210,13,131,218,205,2333,709,"30,4",777,Chotcza,mazowieckie,<20k
JPT_0408032,lipnowski,237,64,280,386,225,2851,983,"34,5",1192,Chrostkowo,kujawsko-pomorskie,<20k
JPT_1203033,chrzanowski,5430,1041,4840,7495,5158,46321,22199,"47,9",23964,Chrzanów,małopolskie,20k-50k
JPT_0605022,janowski,268,38,134,262,171,2887,763,"26,4",873,Chrzanów,lubelskie,<20k
JPT_3014012,międzychodzki,305,59,438,531,344,3306,1348,"40,8",1677,Chrzypsko Wielkie,wielkopolskie,<20k
JPT_1609012,opolski (opolskie),520,126,572,912,488,6961,2441,"35,1",2618,Chrząstowice,opolskie,<20k
JPT_2403052,cieszyński,762,207,976,1637,960,9832,3960,"40,3",4542,Chybie,śląskie,<20k
JPT_1406032,grójecki,769,215,1011,1582,935,9853,3849,"39,1",4512,Chynów,mazowieckie,<20k
JPT_1005032,łowicki,236,53,290,408,268,2912,1132,"38,9",1255,Chąśno,łódzkie,<20k
JPT_2604033,kielecki,1103,226,1383,2098,1422,15031,5510,"36,7",6232,Chęciny,świętokrzyskie,<20k
JPT_1804032,jarosławski,389,31,310,538,393,5524,1501,"27,2",1661,Chłopice,podkarpackie,<20k
JPT_2407032,lubliniecki,457,85,499,673,455,7388,1858,"25,1",2169,Ciasna,śląskie,<20k
JPT_2013023,wysokomazowiecki,843,98,585,970,744,8494,2929,"34,5",3240,Ciechanowiec,podlaskie,<20k
JPT_1402011,ciechanowski,4207,896,5043,6953,5544,43883,20363,"46,4",22643,Ciechanów,mazowieckie,20k-50k
JPT_1402022,ciechanowski,427,130,697,1131,517,7159,2530,"35,3",2902,Ciechanów,mazowieckie,<20k
JPT_0405022,golubsko-dobrzyński,339,99,444,666,373,4003,1484,"37,1",1921,Ciechocin,kujawsko-pomorskie,<20k
JPT_0401021,aleksandrowski,1742,226,1020,1594,1321,10534,5576,"52,9",5903,Ciechocinek,kujawsko-pomorskie,<20k
JPT_1013032,rawski,296,36,241,440,302,3950,1165,"29,5",1315,Cielądz,łódzkie,<20k
JPT_1409022,lipski,415,59,363,576,396,5504,1552,"28,2",1809,Ciepielów,mazowieckie,<20k
JPT_0224022,ząbkowicki,218,41,242,359,273,2924,1012,"34,6",1133,Ciepłowody,dolnośląskie,<20k
JPT_1809023,lubaczowski,607,78,506,852,584,7073,2439,"34,5",2627,Cieszanów,podkarpackie,<20k
JPT_0213012,milicki,365,99,400,599,438,4657,1639,"35,2",1901,Cieszków,dolnośląskie,<20k
JPT_2403011,cieszyński,3830,669,3482,5328,3451,33981,14999,"44,1",16760,Cieszyn,śląskie,20k-50k
JPT_1603032,kędzierzyńsko-kozielski,391,65,383,557,344,5553,1585,"28,5",1740,Cisek,opolskie,<20k
JPT_1821022,leski,148,37,161,335,172,1771,813,"45,9",853,Cisna,podkarpackie,<20k
JPT_1216013,tarnowski,737,154,891,1193,725,11237,3255,29,3700,Ciężkowice,małopolskie,<20k
JPT_1806012,kolbuszowski,371,44,378,491,301,8045,1443,"17,9",1585,Cmolas,podkarpackie,<20k
JPT_0805013,słubicki,459,129,581,942,585,6474,2391,"36,9",2696,Cybinka,lubuskie,<20k
JPT_0610012,łęczyński,511,110,507,797,523,7879,2203,28,2448,Cyców,lubelskie,<20k
JPT_3018012,ostrzeszowski,212,41,238,350,186,2505,805,"32,1",1027,Czajków,wielkopolskie,<20k
JPT_3203013,drawski,977,137,843,1392,1143,11740,4088,"34,8",4492,Czaplinek,zachodniopomorskie,<20k
JPT_1801032,bieszczadzki,145,27,132,215,146,2378,612,"25,7",665,Czarna,podkarpackie,<20k
JPT_1803032,dębicki,718,104,852,1259,792,13158,3351,"25,5",3725,Czarna,podkarpackie,<20k
JPT_1810032,łańcucki,714,119,873,1282,721,11902,3479,"29,2",3709,Czarna,podkarpackie,<20k
JPT_2002023,białostocki,998,141,756,1229,972,11211,3829,"34,2",4096,Czarna Białostocka,podlaskie,<20k
JPT_2201032,bytowski,381,90,459,700,508,5946,1804,"30,3",2138,Czarna Dąbrówka,pomorskie,<20k
JPT_2213013,starogardzki,300,36,266,407,330,3131,1168,"37,3",1339,Czarna Woda,pomorskie,<20k
JPT_2203023,człuchowski,769,242,909,1414,996,8949,3942,44,4330,Czarne,pomorskie,<20k
JPT_1415022,ostrołęcki,152,15,110,220,137,2472,518,21,634,Czarnia,mazowieckie,<20k
JPT_3002011,czarnkowsko-trzcianecki,1252,268,1205,1903,1334,10464,5255,"50,2",5962,Czarnków,wielkopolskie,<20k
JPT_3002022,czarnkowsko-trzcianecki,734,234,1211,1759,917,11471,4118,"35,9",4855,Czarnków,wielkopolskie,<20k
JPT_2603022,kazimierski,410,56,324,529,373,3723,1432,"38,5",1692,Czarnocin,świętokrzyskie,<20k
JPT_1010022,piotrkowski,355,57,357,604,404,4141,1612,"38,9",1777,Czarnocin,łódzkie,<20k
JPT_1017022,wieluński,389,77,438,645,417,4489,1764,"39,3",1966,Czarnożyły,łódzkie,<20k
JPT_0221042,wałbrzyski,385,129,503,787,487,4882,2023,"41,4",2291,Czarny Bór,dolnośląskie,<20k
JPT_1211032,nowotarski,764,164,928,1240,779,22592,3181,"14,1",3875,Czarny Dunajec,małopolskie,20k-50k
JPT_1018022,wieruszowski,348,83,364,573,338,4000,1563,"39,1",1706,Czastary,łódzkie,<20k
JPT_1202033,brzeski (małopolskie),676,148,787,1093,705,9814,2952,"30,1",3409,Czchów,małopolskie,<20k
JPT_2402043,bielski (śląskie),4128,1057,5172,7295,4538,45490,19458,"42,8",22190,Czechowice-Dziedzice,śląskie,20k-50k
JPT_2401021,będziński,3776,731,3283,5134,3831,31039,15329,"49,4",16755,Czeladź,śląskie,20k-50k
JPT_0615032,radzyński,338,32,239,415,278,4265,1103,"25,9",1302,Czemierniki,lubelskie,<20k
JPT_3011023,kościański,921,271,1451,2006,1198,11531,4699,"40,8",5847,Czempiń,wielkopolskie,<20k
JPT_2005032,hajnowski,347,25,136,291,279,3064,989,"32,3",1078,Czeremcha,podlaskie,<20k
JPT_1811032,mielecki,407,56,473,746,369,7073,1827,"25,8",2051,Czermin,podkarpackie,<20k
JPT_3020022,pleszewski,370,64,436,675,416,4935,1617,"32,8",1961,Czermin,wielkopolskie,<20k
JPT_0223012,wrocławski,1119,621,2590,3540,1387,17638,8475,48,9257,Czernica,dolnośląskie,<20k
JPT_1422032,przasnyski,300,36,326,474,320,3767,1273,"33,8",1456,Czernice Borowe,mazowieckie,<20k
JPT_1206012,krakowski,1018,310,1740,2430,1212,14704,5883,40,6710,Czernichów,małopolskie,<20k
JPT_2417022,żywiecki,635,146,737,1051,628,6663,2880,"43,2",3197,Czernichów,śląskie,<20k
JPT_3003023,gnieźnieński,489,157,786,1069,637,7388,2596,"35,1",3138,Czerniejewo,wielkopolskie,<20k
JPT_1016042,tomaszowski (łódzkie),287,60,356,578,419,5020,1067,"21,3",1700,Czerniewice,łódzkie,<20k
