population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
86590,72198,137,31950,120,716,1044,2021-07-17,nakielski,kujawsko-pomorskie
42688,25219,116,11762,64,151,230,2021-07-17,namysłowski,opolskie
33068,38748,269,17701,74,74,269,2021-07-17,nidzicki,warmińsko-mazurskie
66843,29926,127,14312,44,54,122,2021-07-17,niżański,podkarpackie
79291,94650,636,43337,420,150,294,2021-07-17,nowodworski (mazowieckie),mazowieckie
35746,28429,174,12720,126,120,333,2021-07-17,nowodworski (pomorskie),pomorskie
43997,30452,419,13285,298,20,186,2021-07-17,nowomiejski,warmińsko-mazurskie
86634,80620,426,36735,275,1205,2660,2021-07-17,nowosolski,lubuskie
216176,113776,1294,49707,992,577,1166,2021-07-17,nowosądecki,małopolskie
191508,113813,1363,50567,1016,936,1328,2021-07-17,nowotarski,małopolskie
75363,51002,546,22866,489,303,592,2021-07-17,nowotomyski,wielkopolskie
136946,86857,265,41368,132,549,1875,2021-07-17,nyski,opolskie
59858,68743,679,29557,525,613,896,2021-07-17,obornicki,wielkopolskie
34433,21406,162,9942,115,41,94,2021-07-17,olecki,warmińsko-mazurskie
64602,44442,223,20853,194,387,1309,2021-07-17,oleski,opolskie
107062,79508,805,34050,598,2049,4398,2021-07-17,oleśnicki,dolnośląskie
112035,99599,356,45228,287,1673,7583,2021-07-17,olkuski,małopolskie
126018,85510,443,39387,308,561,1873,2021-07-17,olsztyński,warmińsko-mazurskie
52577,31426,303,14253,176,230,608,2021-07-17,opatowski,świętokrzyskie
76623,51190,245,22690,117,354,948,2021-07-17,opoczyński,łódzkie
59726,39792,358,17885,230,138,627,2021-07-17,opolski (lubelskie),lubelskie
123520,60283,66,28046,33,295,495,2021-07-17,opolski (opolskie),opolskie
110127,79623,598,36334,475,778,2344,2021-07-17,ostrowiecki,świętokrzyskie
72782,43873,170,20587,102,223,585,2021-07-17,ostrowski (mazowieckie),mazowieckie
161519,115846,946,52004,556,1873,2905,2021-07-17,ostrowski (wielkopolskie),wielkopolskie
88735,44303,271,20164,158,230,322,2021-07-17,ostrołęcki,mazowieckie
55403,36852,336,16454,182,438,703,2021-07-17,ostrzeszowski,wielkopolskie
104780,60311,711,27851,575,598,1675,2021-07-17,ostródzki,warmińsko-mazurskie
124036,78497,539,35492,329,387,1221,2021-07-17,otwocki,mazowieckie
76595,42001,174,19782,170,1471,4167,2021-07-17,oławski,dolnośląskie
153737,102606,1001,44970,841,638,3650,2021-07-17,oświęcimski,małopolskie
119289,95617,810,43562,627,2196,8272,2021-07-17,pabianicki,łódzkie
51597,27583,49,12270,33,29,935,2021-07-17,pajęczański,łódzkie
34954,25726,148,11897,130,70,190,2021-07-17,parczewski,lubelskie
184951,218542,1049,99928,804,4658,12179,2021-07-17,piaseczyński,mazowieckie
136621,84837,1362,38334,1013,139,366,2021-07-17,pilski,wielkopolskie
91315,42683,752,18984,708,1264,1716,2021-07-17,piotrkowski,łódzkie
56570,46489,191,21527,81,459,1540,2021-07-17,piski,warmińsko-mazurskie
39271,31201,247,13696,122,619,1271,2021-07-17,pińczowski,świętokrzyskie
63147,56690,389,26162,162,183,343,2021-07-17,pleszewski,wielkopolskie
41205,33289,232,15246,82,321,670,2021-07-17,poddębicki,łódzkie
79476,43940,295,20268,209,211,253,2021-07-17,policki,zachodniopomorskie
62982,37797,140,16109,82,5,12,2021-07-17,polkowicki,dolnośląskie
390308,172645,1371,77715,991,5043,13332,2021-07-17,poznański,wielkopolskie
43523,38117,311,17543,200,329,467,2021-07-17,proszowicki,małopolskie
55524,36490,83,17147,48,543,1505,2021-07-17,prudnicki,opolskie
164240,114749,811,51275,453,788,1487,2021-07-17,pruszkowski,mazowieckie
52824,44505,164,20649,93,315,739,2021-07-17,przasnyski,mazowieckie
74398,17132,71,8082,58,74,562,2021-07-17,przemyski,podkarpackie
78458,26684,100,12565,22,305,1276,2021-07-17,przeworski,podkarpackie
41922,23598,209,10418,98,280,435,2021-07-17,przysuski,mazowieckie
111202,56462,685,25151,571,39,174,2021-07-17,pszczyński,śląskie
85726,49467,727,22252,599,560,783,2021-07-17,pucki,pomorskie
113762,87678,518,40449,314,380,1495,2021-07-17,puławski,lubelskie
51809,40269,436,18313,278,11,326,2021-07-17,pułtuski,mazowieckie
39639,26540,118,12467,74,55,96,2021-07-17,pyrzycki,zachodniopomorskie
111088,72503,547,32230,416,728,1367,2021-07-17,płocki,mazowieckie
87409,70797,408,31647,228,365,732,2021-07-17,płoński,mazowieckie
108513,81000,532,37182,361,1435,3261,2021-07-17,raciborski,śląskie
152117,53482,276,23834,220,267,475,2021-07-17,radomski,mazowieckie
113315,75070,735,33865,538,156,835,2021-07-17,radomszczański,łódzkie
40714,40403,155,17855,118,7,111,2021-07-17,radziejowski,kujawsko-pomorskie
59278,27158,235,12428,198,291,414,2021-07-17,radzyński,lubelskie
60405,45394,438,19553,245,355,957,2021-07-17,rawicki,wielkopolskie
48808,25002,255,11014,219,71,344,2021-07-17,rawski,łódzkie
74374,34160,112,15675,40,514,1266,2021-07-17,ropczycko-sędziszowski,podkarpackie
78104,23322,16,10810,16,191,538,2021-07-17,rybnicki,śląskie
56166,48572,225,22575,184,235,299,2021-07-17,rycki,lubelskie
43826,30639,125,13628,66,422,454,2021-07-17,rypiński,kujawsko-pomorskie
170486,49889,280,23312,137,535,1085,2021-07-17,rzeszowski,podkarpackie
77773,70828,319,32662,222,763,1476,2021-07-17,sandomierski,świętokrzyskie
94758,33896,167,15581,88,407,1286,2021-07-17,sanocki,podkarpackie
20092,11087,138,5174,106,0,2,2021-07-17,sejneński,podlaskie
81352,27621,195,12871,136,25,112,2021-07-17,siedlecki,mazowieckie
44689,29215,176,14092,109,78,291,2021-07-17,siemiatycki,podlaskie
